datetime,temperature,humidity,wind_speed,pressure
01.01.2009 11:10:00,-7.48,90.5,1.73,1000.81
01.01.2009 11:20:00,-7.38,90.6,1.25,1000.74
01.01.2009 11:30:00,-7.21,90.2,1.41,1000.61
01.01.2009 11:40:00,-7.16,89.8,1.28,1000.5
01.01.2009 11:50:00,-7.03,89.6,1.75,1000.36
01.01.2009 12:00:00,-6.87,89.6,1.84,1000.3
01.01.2009 12:10:00,-6.77,89.5,2.15,1000.21
01.01.2009 12:20:00,-6.7,89.8,1.89,1000.18
01.01.2009 12:30:00,-6.61,89.7,2.25,1000.14
01.01.2009 12:40:00,-6.51,89.5,1.28,1000.02
01.01.2009 12:50:00,-6.21,89.4,0.33,1000.02
01.01.2009 13:00:00,-5.89,88.6,0.57,1000.03
01.01.2009 13:10:00,-5.83,87.8,0.86,999.97
01.01.2009 13:20:00,-5.76,87.7,0.91,999.97
01.01.2009 13:30:00,-5.9,87.5,1.45,1000.02
01.01.2009 13:40:00,-5.97,88.5,1.22,999.89
01.01.2009 13:50:00,-5.88,88.6,1.43,999.81
01.01.2009 14:00:00,-5.94,89.1,1.25,999.81
01.01.2009 14:10:00,-5.84,89.6,1.01,999.81
01.01.2009 14:20:00,-5.76,89.8,1.19,999.8
01.01.2009 14:30:00,-5.75,89.8,1.25,999.81
01.01.2009 14:40:00,-5.76,90.2,1.35,999.82
01.01.2009 14:50:00,-5.73,90.3,1.74,999.83
01.01.2009 15:00:00,-5.69,90.4,1.17,999.88
01.01.2009 15:10:00,-5.53,90.2,1.33,999.98
01.01.2009 15:20:00,-5.57,89.8,1.24,1000.06
01.01.2009 15:30:00,-5.43,90.0,0.9,1000.04
01.01.2009 15:40:00,-5.32,89.5,0.98,1000.0
01.01.2009 15:50:00,-5.36,89.2,1.48,999.95
01.01.2009 16:00:00,-5.4,89.4,1.4,999.94
01.01.2009 16:10:00,-5.31,89.9,1.03,1000.05
01.01.2009 16:20:00,-5.28,89.8,1.11,1000.05
01.01.2009 16:30:00,-5.32,89.5,1.35,1000.1
01.01.2009 16:40:00,-5.29,89.7,1.03,1000.17
01.01.2009 16:50:00,-5.33,89.2,1.08,1000.13
01.01.2009 17:00:00,-5.37,89.4,0.85,1000.17
01.01.2009 17:10:00,-5.43,89.3,1.27,1000.17
01.01.2009 17:20:00,-5.28,89.8,0.55,1000.18
01.01.2009 17:30:00,-5.21,89.2,0.53,1000.18
01.01.2009 17:40:00,-5.21,88.9,0.75,1000.17
01.01.2009 17:50:00,-5.24,88.9,0.72,1000.16
01.01.2009 18:00:00,-5.25,89.1,0.55,1000.16
01.01.2009 18:10:00,-5.16,89.1,0.6,1000.13
01.01.2009 18:20:00,-5.12,89.1,0.5,1000.07
01.01.2009 18:30:00,-5.04,88.9,0.41,1000.11
01.01.2009 18:40:00,-5.01,88.7,0.47,1000.18
01.01.2009 18:50:00,-5.12,88.7,0.93,1000.23
01.01.2009 19:00:00,-5.11,89.4,0.41,1000.22
01.01.2009 19:10:00,-4.9,89.4,0.35,1000.3
01.01.2009 19:20:00,-4.86,88.9,0.27,1000.19
01.01.2009 19:30:00,-4.9,88.7,0.5,1000.18
01.01.2009 19:40:00,-4.97,88.7,0.6,1000.14
01.01.2009 19:50:00,-4.99,89.0,0.55,1000.18
01.01.2009 20:00:00,-4.9,89.3,0.68,1000.22
01.01.2009 20:10:00,-4.93,89.5,0.63,1000.27
01.01.2009 20:20:00,-4.89,89.8,0.58,1000.21
01.01.2009 20:30:00,-4.93,89.9,1.04,1000.19
01.01.2009 20:40:00,-5.0,90.2,0.85,1000.24
01.01.2009 20:50:00,-4.9,90.6,0.28,1000.3
01.01.2009 21:00:00,-4.8,90.2,0.44,1000.19
01.01.2009 21:10:00,-4.84,90.0,0.83,1000.19
01.01.2009 21:20:00,-4.9,90.2,0.58,1000.15
01.01.2009 21:30:00,-4.86,90.4,0.34,1000.09
01.01.2009 21:40:00,-4.76,90.5,0.35,1000.06
01.01.2009 21:50:00,-4.61,90.6,0.33,1000.03
01.01.2009 22:00:00,-4.5,90.4,0.33,1000.0
01.01.2009 22:10:00,-4.41,90.4,0.18,999.92
01.01.2009 22:20:00,-4.4,90.1,0.39,999.93
01.01.2009 22:30:00,-4.32,90.0,0.2,999.87
01.01.2009 22:40:00,-4.17,89.7,0.34,999.8
01.01.2009 22:50:00,-4.3,89.3,0.47,999.77
01.01.2009 23:00:00,-4.47,90.1,0.65,999.77
01.01.2009 23:10:00,-4.5,91.2,0.37,999.8
01.01.2009 23:20:00,-4.51,91.7,0.44,999.81
01.01.2009 23:30:00,-4.33,92.5,0.24,999.8
01.01.2009 23:40:00,-4.33,92.0,0.77,999.71
01.01.2009 23:50:00,-4.58,92.4,0.69,999.67
02.01.2009 00:00:00,-4.54,93.2,0.41,999.59
02.01.2009 00:10:00,-4.6,93.2,0.85,999.55
02.01.2009 00:20:00,-4.67,93.7,0.83,999.56
02.01.2009 00:30:00,-4.66,94.1,0.53,999.56
02.01.2009 00:40:00,-4.55,94.4,0.41,999.48
02.01.2009 00:50:00,-4.43,94.4,0.63,999.44
02.01.2009 01:00:00,-4.44,94.4,0.28,999.34
02.01.2009 01:10:00,-4.39,94.5,0.42,999.31
02.01.2009 01:20:00,-4.4,94.4,0.51,999.21
02.01.2009 01:30:00,-4.4,94.6,0.27,999.18
02.01.2009 01:40:00,-4.31,94.7,0.22,999.08
02.01.2009 01:50:00,-4.26,94.6,0.37,999.0
02.01.2009 02:00:00,-4.29,94.5,0.49,998.93
02.01.2009 02:10:00,-4.26,94.6,0.29,998.93
02.01.2009 02:20:00,-4.27,94.4,0.3,998.82
02.01.2009 02:30:00,-4.3,94.5,0.39,998.82
02.01.2009 02:40:00,-4.32,94.6,0.61,998.78
02.01.2009 02:50:00,-4.39,94.6,0.45,998.73
02.01.2009 03:00:00,-4.45,94.8,0.65,998.69
02.01.2009 03:10:00,-4.5,95.0,0.72,998.67
02.01.2009 03:20:00,-4.48,95.2,0.56,998.58
02.01.2009 03:30:00,-4.43,95.3,0.57,998.49
02.01.2009 03:40:00,-4.33,95.5,0.42,998.44
02.01.2009 03:50:00,-4.41,95.1,0.92,998.39
02.01.2009 04:00:00,-4.58,95.2,0.77,998.32
02.01.2009 04:10:00,-4.63,95.4,0.83,998.29
02.01.2009 04:20:00,-4.63,95.5,0.8,998.12
02.01.2009 04:30:00,-4.74,95.6,1.05,997.95
02.01.2009 04:40:00,-4.86,95.7,0.5,998.03
02.01.2009 04:50:00,-4.97,95.9,0.49,998.08
02.01.2009 05:00:00,-4.96,96.0,0.79,998.1
02.01.2009 05:10:00,-4.94,96.0,1.03,998.21
02.01.2009 05:20:00,-4.78,96.3,0.9,998.21
02.01.2009 05:30:00,-4.63,96.2,0.44,998.13
02.01.2009 05:40:00,-4.64,95.9,0.49,998.02
02.01.2009 05:50:00,-4.67,96.0,0.44,997.93
02.01.2009 06:00:00,-4.43,96.2,0.81,998.0
02.01.2009 06:10:00,-4.38,95.9,0.75,998.11
02.01.2009 06:20:00,-4.32,95.9,0.68,998.15
02.01.2009 06:30:00,-4.25,95.8,0.25,998.21
02.01.2009 06:40:00,-4.16,95.6,0.93,998.22
02.01.2009 06:50:00,-4.26,95.4,0.97,998.19
02.01.2009 07:00:00,-4.28,95.5,0.53,998.17
02.01.2009 07:10:00,-4.34,95.3,0.33,998.19
02.01.2009 07:20:00,-4.37,95.2,0.38,998.2
02.01.2009 07:30:00,-4.33,95.2,1.04,998.22
02.01.2009 07:40:00,-4.43,95.1,1.11,998.17
02.01.2009 07:50:00,-4.39,95.1,1.14,998.18
02.01.2009 08:00:00,-4.33,94.8,1.64,998.18
02.01.2009 08:10:00,-4.37,94.7,1.62,998.11
02.01.2009 08:20:00,-4.31,94.7,1.42,998.1
02.01.2009 08:30:00,-4.3,94.4,1.97,998.15
02.01.2009 08:40:00,-4.24,94.4,1.39,998.29
02.01.2009 08:50:00,-4.17,94.1,1.68,998.34
02.01.2009 09:00:00,-4.13,93.8,1.32,998.35
02.01.2009 09:10:00,-4.07,93.7,1.15,998.39
02.01.2009 09:20:00,-3.95,93.3,1.31,998.46
02.01.2009 09:30:00,-3.9,93.1,1.42,998.53
02.01.2009 09:40:00,-3.9,92.7,1.44,998.59
02.01.2009 09:50:00,-3.92,92.6,1.24,998.58
02.01.2009 10:00:00,-3.93,92.3,1.83,998.65
02.01.2009 10:10:00,-3.97,92.5,1.78,998.78
02.01.2009 10:20:00,-3.93,92.7,1.46,998.83
02.01.2009 10:30:00,-3.9,92.6,1.88,998.84
02.01.2009 10:40:00,-3.87,92.6,1.69,998.87
02.01.2009 10:50:00,-3.74,92.5,1.42,998.92
02.01.2009 11:00:00,-3.62,92.3,1.21,998.98
02.01.2009 11:10:00,-3.49,91.9,1.95,998.88
02.01.2009 11:20:00,-3.36,91.7,2.0,998.79
02.01.2009 11:30:00,-3.21,91.2,1.44,998.88
02.01.2009 11:40:00,-3.17,90.8,1.52,998.88
02.01.2009 11:50:00,-3.02,90.6,1.33,998.94
02.01.2009 12:00:00,-3.12,90.1,1.54,998.91
02.01.2009 12:10:00,-3.07,90.5,1.2,998.85
02.01.2009 12:20:00,-2.9,89.8,1.0,998.82
02.01.2009 12:30:00,-2.81,89.0,1.02,998.78
02.01.2009 12:40:00,-2.8,88.7,1.06,998.64
02.01.2009 12:50:00,-2.64,88.5,0.74,998.61
02.01.2009 13:00:00,-2.53,88.0,0.92,998.59
02.01.2009 13:10:00,-2.54,87.6,1.13,998.58
02.01.2009 13:20:00,-2.49,87.8,0.88,998.62
02.01.2009 13:30:00,-2.26,87.2,0.66,998.6
02.01.2009 13:40:00,-2.21,86.6,0.59,998.67
02.01.2009 13:50:00,-2.41,86.6,0.65,998.7
02.01.2009 14:00:00,-2.56,87.8,0.73,998.73
02.01.2009 14:10:00,-2.62,88.6,0.92,998.73
02.01.2009 14:20:00,-2.54,89.0,0.44,998.75
02.01.2009 14:30:00,-2.14,87.8,0.84,998.7
02.01.2009 14:40:00,-2.22,87.0,0.76,998.75
02.01.2009 14:50:00,-2.18,87.5,0.28,998.71
02.01.2009 15:00:00,-2.12,86.9,0.47,998.87
02.01.2009 15:10:00,-2.31,87.3,0.94,999.05
02.01.2009 15:20:00,-2.42,88.5,1.35,999.14
02.01.2009 15:30:00,-2.47,89.1,2.18,999.25
02.01.2009 15:40:00,-2.55,89.4,2.39,999.32
02.01.2009 15:50:00,-2.65,89.5,2.94,999.46
02.01.2009 16:00:00,-2.76,89.6,2.91,999.59
02.01.2009 16:10:00,-2.81,89.7,2.16,999.62
02.01.2009 16:20:00,-2.83,89.4,2.03,999.8
02.01.2009 16:30:00,-2.84,88.4,1.3,999.92
02.01.2009 16:40:00,-2.83,88.3,1.7,1000.13
02.01.2009 16:50:00,-2.84,88.6,1.11,1000.16
02.01.2009 17:00:00,-2.88,89.0,1.52,1000.21
02.01.2009 17:10:00,-2.96,89.5,1.22,1000.23
02.01.2009 17:20:00,-2.96,90.0,1.24,1000.35
02.01.2009 17:30:00,-2.97,90.3,1.5,1000.43
02.01.2009 17:40:00,-3.03,91.0,1.76,1000.54
02.01.2009 17:50:00,-3.05,91.8,1.62,1000.66
02.01.2009 18:00:00,-3.07,92.3,2.97,1000.74
02.01.2009 18:10:00,-3.16,92.3,3.44,1000.78
02.01.2009 18:20:00,-3.2,91.9,3.26,1000.92
02.01.2009 18:30:00,-3.23,91.5,3.48,1000.98
02.01.2009 18:40:00,-3.29,90.9,3.51,1001.13
02.01.2009 18:50:00,-3.3,90.5,3.3,1001.19
02.01.2009 19:00:00,-3.34,90.7,3.07,1001.27
02.01.2009 19:10:00,-3.36,91.4,2.81,1001.34
02.01.2009 19:20:00,-3.36,92.0,1.99,1001.4
02.01.2009 19:30:00,-3.36,92.2,2.19,1001.46
02.01.2009 19:40:00,-3.36,92.5,2.55,1001.57
02.01.2009 19:50:00,-3.31,92.8,2.11,1001.71
02.01.2009 20:00:00,-3.3,92.8,2.89,1001.83
02.01.2009 20:10:00,-3.28,92.6,2.09,1001.9
02.01.2009 20:20:00,-3.36,92.4,3.01,1002.01
02.01.2009 20:30:00,-3.36,92.4,2.89,1002.03
02.01.2009 20:40:00,-3.36,92.2,2.99,1002.13
02.01.2009 20:50:00,-3.43,92.2,2.98,1002.15
02.01.2009 21:00:00,-3.49,91.9,2.48,1002.23
02.01.2009 21:10:00,-3.5,91.7,2.69,1002.32
02.01.2009 21:20:00,-3.52,91.3,3.26,1002.36
02.01.2009 21:30:00,-3.66,90.4,3.87,1002.37
02.01.2009 21:40:00,-3.8,89.8,3.42,1002.35
02.01.2009 21:50:00,-3.94,89.3,3.01,1002.39
02.01.2009 22:00:00,-4.02,88.8,3.06,1002.39
02.01.2009 22:10:00,-4.06,88.4,3.06,1002.39
02.01.2009 22:20:00,-4.2,88.7,2.39,1002.44
02.01.2009 22:30:00,-4.34,88.9,1.74,1002.54
02.01.2009 22:40:00,-4.3,89.2,1.81,1002.52
02.01.2009 22:50:00,-4.35,89.6,1.42,1002.57
02.01.2009 23:00:00,-4.38,89.7,0.74,1002.52
02.01.2009 23:10:00,-4.45,89.6,0.82,1002.64
02.01.2009 23:20:00,-4.53,89.7,1.26,1002.65
02.01.2009 23:30:00,-4.57,89.9,1.38,1002.64
02.01.2009 23:40:00,-4.56,89.8,2.13,1002.53
02.01.2009 23:50:00,-4.59,89.6,1.98,1002.35
03.01.2009 00:00:00,-4.71,90.0,1.42,1002.32
03.01.2009 00:10:00,-4.89,90.7,0.8,1002.39
03.01.2009 00:20:00,-5.2,90.6,0.47,1002.39
03.01.2009 00:30:00,-5.48,91.1,0.38,1002.49
03.01.2009 00:40:00,-5.5,91.8,0.12,1002.42
03.01.2009 00:50:00,-5.43,92.2,0.96,1002.39
03.01.2009 01:00:00,-5.28,92.1,0.27,1002.39
03.01.2009 01:10:00,-5.39,91.0,0.63,1002.39
03.01.2009 01:20:00,-5.66,90.7,0.64,1002.31
03.01.2009 01:30:00,-5.7,91.2,0.96,1002.34
03.01.2009 01:40:00,-5.89,91.5,0.99,1002.36
03.01.2009 01:50:00,-6.08,91.9,0.74,1002.27
03.01.2009 02:00:00,-6.23,92.3,0.39,1002.27
03.01.2009 02:10:00,-6.38,92.3,0.43,1002.28
03.01.2009 02:20:00,-6.55,92.7,0.67,1002.29
03.01.2009 02:30:00,-6.41,93.3,0.47,1002.37
03.01.2009 02:40:00,-6.12,93.4,0.38,1002.27
03.01.2009 02:50:00,-6.01,92.7,0.34,1002.2
03.01.2009 03:00:00,-6.13,91.9,0.43,1002.15
03.01.2009 03:10:00,-6.36,92.0,0.19,1002.14
03.01.2009 03:20:00,-6.48,92.3,0.31,1002.14
03.01.2009 03:30:00,-6.46,92.7,0.57,1002.06
03.01.2009 03:40:00,-6.33,92.6,0.25,1002.03
03.01.2009 03:50:00,-6.39,92.3,0.82,1002.01
03.01.2009 04:00:00,-6.21,91.8,0.77,1002.02
03.01.2009 04:10:00,-6.17,90.9,0.27,1001.99
03.01.2009 04:20:00,-6.25,91.0,0.31,1001.97
03.01.2009 04:30:00,-6.3,91.3,0.37,1001.93
03.01.2009 04:40:00,-6.49,91.4,0.24,1001.9
03.01.2009 04:50:00,-6.64,91.5,0.51,1001.79
03.01.2009 05:00:00,-7.02,91.9,0.48,1001.65
03.01.2009 05:10:00,-7.19,92.4,0.39,1001.52
03.01.2009 05:20:00,-7.35,92.4,0.55,1001.4
03.01.2009 05:30:00,-7.54,92.8,0.45,1001.29
03.01.2009 05:40:00,-7.8,93.1,0.28,1001.29
03.01.2009 05:50:00,-7.96,93.6,0.2,1001.31
03.01.2009 06:00:00,-8.2,93.5,0.47,1001.29
03.01.2009 06:10:00,-8.14,93.9,2.0,1001.2
03.01.2009 06:20:00,-7.92,92.5,2.58,1001.15
03.01.2009 06:30:00,-7.89,90.7,2.34,1001.13
03.01.2009 06:40:00,-7.97,89.9,1.95,1001.12
03.01.2009 06:50:00,-8.1,89.7,1.04,1001.07
03.01.2009 07:00:00,-8.48,89.3,1.32,1001.17
03.01.2009 07:10:00,-8.63,90.6,1.31,1001.22
03.01.2009 07:20:00,-8.61,91.5,1.41,1001.16
03.01.2009 07:30:00,-8.61,91.5,1.13,1001.16
03.01.2009 07:40:00,-8.85,91.0,1.08,1001.11
03.01.2009 07:50:00,-9.18,90.7,1.9,1001.03
03.01.2009 08:00:00,-9.28,91.2,0.85,1001.04
03.01.2009 08:10:00,-9.45,91.1,0.73,1000.99
03.01.2009 08:20:00,-9.81,91.0,0.9,1000.95
03.01.2009 08:30:00,-9.85,91.6,0.72,1000.91
03.01.2009 08:40:00,-9.71,91.9,0.93,1000.92
03.01.2009 08:50:00,-9.4,92.0,0.43,1000.92
03.01.2009 09:00:00,-9.46,90.7,0.79,1000.92
03.01.2009 09:10:00,-10.0,89.7,0.82,1000.92
03.01.2009 09:20:00,-9.93,90.5,0.68,1000.93
03.01.2009 09:30:00,-9.3,90.5,0.65,1000.85
03.01.2009 09:40:00,-8.83,87.8,0.72,1000.8
03.01.2009 09:50:00,-8.48,84.8,0.8,1000.71
03.01.2009 10:00:00,-8.53,83.3,1.08,1000.67
03.01.2009 10:10:00,-8.56,84.5,1.19,1000.64
03.01.2009 10:20:00,-8.47,85.3,1.28,1000.51
03.01.2009 10:30:00,-8.51,85.2,1.77,1000.37
03.01.2009 10:40:00,-8.41,86.4,1.49,1000.28
03.01.2009 10:50:00,-8.16,86.4,1.39,1000.15
03.01.2009 11:00:00,-7.87,85.6,1.34,1000.04
03.01.2009 11:10:00,-7.52,84.7,1.09,999.88
03.01.2009 11:20:00,-7.29,83.7,1.38,999.7
03.01.2009 11:30:00,-6.89,83.2,1.28,999.56
03.01.2009 11:40:00,-6.56,82.0,1.42,999.41
03.01.2009 11:50:00,-6.32,81.7,1.27,999.26
03.01.2009 12:00:00,-5.96,80.7,1.31,999.02
03.01.2009 12:10:00,-5.78,80.5,1.3,998.83
03.01.2009 12:20:00,-5.15,79.4,1.15,998.78
03.01.2009 12:30:00,-4.34,76.6,1.54,998.69
03.01.2009 12:40:00,-3.77,74.4,1.46,998.6
03.01.2009 12:50:00,-3.27,72.0,1.62,998.47
03.01.2009 13:00:00,-2.82,70.5,1.52,998.3
03.01.2009 13:10:00,-2.23,67.98,1.53,998.17
03.01.2009 13:20:00,-2.37,67.26,1.69,998.0
03.01.2009 13:30:00,-2.11,66.55,1.62,997.84
03.01.2009 13:40:00,-1.66,64.48,1.59,997.74
03.01.2009 13:50:00,-1.43,63.9,0.97,997.65
03.01.2009 14:00:00,-2.15,65.61,0.88,997.53
03.01.2009 14:10:00,-2.74,67.06,1.63,997.31
03.01.2009 14:20:00,-2.29,65.31,1.18,997.23
03.01.2009 14:30:00,-1.66,55.33,2.82,997.13
03.01.2009 14:40:00,-1.52,55.18,1.73,997.09
03.01.2009 14:50:00,-0.9,52.35,1.52,997.02
03.01.2009 15:00:00,-0.82,50.25,1.34,996.91
03.01.2009 15:10:00,-1.37,49.89,1.42,996.85
03.01.2009 15:20:00,-1.91,50.7,1.7,996.73
03.01.2009 15:30:00,-2.28,52.52,1.67,996.58
03.01.2009 15:40:00,-2.24,51.42,1.97,996.39
03.01.2009 15:50:00,-2.32,49.06,1.6,996.35
03.01.2009 16:00:00,-2.8,48.39,1.82,996.25
03.01.2009 16:10:00,-3.64,50.57,2.08,996.12
03.01.2009 16:20:00,-3.98,50.8,2.6,996.04
03.01.2009 16:30:00,-4.18,51.12,2.45,995.92
03.01.2009 16:40:00,-4.35,51.59,2.53,995.87
03.01.2009 16:50:00,-4.52,52.47,2.37,995.85
03.01.2009 17:00:00,-4.69,53.86,2.63,995.76
03.01.2009 17:10:00,-4.63,54.42,3.01,995.7
03.01.2009 17:20:00,-4.6,55.1,3.64,995.62
03.01.2009 17:30:00,-4.31,55.11,3.26,995.6
03.01.2009 17:40:00,-4.18,55.57,3.15,995.59
03.01.2009 17:50:00,-4.16,56.06,3.44,995.51
03.01.2009 18:00:00,-4.08,56.32,3.12,995.48
03.01.2009 18:10:00,-3.98,56.28,2.49,995.47
03.01.2009 18:20:00,-3.91,56.56,2.29,995.42
03.01.2009 18:30:00,-3.9,57.28,1.83,995.41
03.01.2009 18:40:00,-3.9,58.04,1.82,995.34
03.01.2009 18:50:00,-3.87,58.83,1.73,995.37
03.01.2009 19:00:00,-3.78,59.35,0.96,995.44
03.01.2009 19:10:00,-3.77,59.45,1.15,995.28
03.01.2009 19:20:00,-3.95,60.72,1.15,995.26
03.01.2009 19:30:00,-3.9,62.26,0.78,995.19
03.01.2009 19:40:00,-3.75,63.02,0.9,995.15
03.01.2009 19:50:00,-3.81,63.99,1.3,995.07
03.01.2009 20:00:00,-3.84,64.22,0.91,994.94
03.01.2009 20:10:00,-3.88,64.9,0.52,994.76
03.01.2009 20:20:00,-3.67,66.32,1.16,994.65
03.01.2009 20:30:00,-3.3,65.81,0.78,994.64
03.01.2009 20:40:00,-3.34,66.42,0.69,994.57
03.01.2009 20:50:00,-3.24,66.37,0.93,994.45
03.01.2009 21:00:00,-3.15,66.47,0.97,994.3
03.01.2009 21:10:00,-3.07,66.65,1.42,994.23
03.01.2009 21:20:00,-2.93,66.56,1.4,994.2
03.01.2009 21:30:00,-2.78,66.4,1.37,994.04
03.01.2009 21:40:00,-2.76,66.63,1.37,994.08
03.01.2009 21:50:00,-2.76,67.09,1.2,994.06
03.01.2009 22:00:00,-2.76,67.66,1.03,994.06
03.01.2009 22:10:00,-2.71,68.08,1.08,994.01
03.01.2009 22:20:00,-2.67,68.59,1.73,993.77
03.01.2009 22:30:00,-2.69,69.12,1.31,993.61
03.01.2009 22:40:00,-2.7,69.86,1.23,993.54
03.01.2009 22:50:00,-2.64,70.9,1.44,993.43
03.01.2009 23:00:00,-2.58,71.2,1.6,993.28
03.01.2009 23:10:00,-2.46,71.2,1.69,993.14
03.01.2009 23:20:00,-2.33,71.3,1.05,993.13
03.01.2009 23:30:00,-2.12,71.3,1.19,993.14
03.01.2009 23:40:00,-1.97,71.0,1.26,993.13
03.01.2009 23:50:00,-1.9,70.8,1.56,993.05
04.01.2009 00:00:00,-1.9,71.2,1.47,992.93
04.01.2009 00:10:00,-1.83,71.4,1.44,992.79
04.01.2009 00:20:00,-1.7,71.8,1.04,992.67
04.01.2009 00:30:00,-1.6,72.2,1.6,992.57
04.01.2009 00:40:00,-1.55,73.1,1.06,992.54
04.01.2009 00:50:00,-1.46,73.2,1.9,992.41
04.01.2009 01:00:00,-1.42,73.0,2.77,992.19
04.01.2009 01:10:00,-1.49,75.4,3.25,992.09
04.01.2009 01:20:00,-2.01,83.5,2.63,991.98
04.01.2009 01:30:00,-2.32,87.6,1.7,991.97
04.01.2009 01:40:00,-2.37,89.3,2.18,991.85
04.01.2009 01:50:00,-2.32,90.0,2.13,991.84
04.01.2009 02:00:00,-2.22,90.1,1.82,991.76
04.01.2009 02:10:00,-2.09,89.8,1.29,991.73
04.01.2009 02:20:00,-2.04,89.6,1.36,991.65
04.01.2009 02:30:00,-2.25,89.5,1.24,991.58
04.01.2009 02:40:00,-2.54,90.5,1.35,991.49
04.01.2009 02:50:00,-2.26,91.1,0.99,991.36
04.01.2009 03:00:00,-2.2,90.6,0.87,991.26
04.01.2009 03:10:00,-2.16,90.6,1.04,991.24
04.01.2009 03:20:00,-2.05,90.7,0.87,991.15
04.01.2009 03:30:00,-1.9,90.0,1.01,991.09
04.01.2009 03:40:00,-1.79,89.6,1.18,991.0
04.01.2009 03:50:00,-1.79,89.3,1.46,990.89
04.01.2009 04:00:00,-1.88,90.0,0.62,990.83
04.01.2009 04:10:00,-1.87,90.3,0.83,990.74
04.01.2009 04:20:00,-1.78,90.7,1.69,990.69
04.01.2009 04:30:00,-1.66,90.6,0.83,990.63
